timestamp,consumption_kwh,hour,day_of_week,month,is_weekend,is_holiday,event_flag,event_type
2022-01-01 00:00:00,76.48357076505616,0,5,1,1,0,0,None
2022-01-01 01:00:00,72.2554585134449,1,5,1,1,0,0,None
2022-01-01 02:00:00,73.52562976940143,2,5,1,1,0,0,None
2022-01-01 03:00:00,74.9877322840706,3,5,1,1,0,0,None
2022-01-01 04:00:00,64.82923312638331,4,5,1,1,0,0,None
2022-01-01 05:00:00,66.69069931142242,5,5,1,1,0,0,None
2022-01-01 06:00:00,81.89606407753696,6,5,1,1,0,0,None
2022-01-01 07:00:00,88.26297662849419,7,5,1,1,0,0,None
2022-01-01 08:00:00,95.65262807032524,8,5,1,1,0,0,None
2022-01-01 09:00:00,115.34021721589936,9,5,1,1,0,0,None
2022-01-01 10:00:00,123.39572445703972,10,5,1,1,0,0,None
2022-01-01 11:00:00,132.4373841339499,11,5,1,1,0,0,None
2022-01-01 12:00:00,139.20981135783018,12,5,1,1,0,0,None
2022-01-01 13:00:00,125.1996316785122,13,5,1,1,0,0,None
2022-01-01 14:00:00,117.0882237585369,14,5,1,1,0,0,None
2022-01-01 15:00:00,109.81597935176467,15,5,1,1,0,0,None
2022-01-01 16:00:00,92.93584439832789,16,5,1,1,0,0,None
2022-01-01 17:00:00,85.99703964570602,17,5,1,1,0,0,None
2022-01-01 18:00:00,69.45987962239394,18,5,1,1,0,0,None
2022-01-01 19:00:00,60.79986558949185,19,5,1,1,0,0,None
2022-01-01 20:00:00,73.32824384460777,20,5,1,1,0,0,None
2022-01-01 21:00:00,66.24370149959782,21,5,1,1,0,0,None
2022-01-01 22:00:00,70.62482810233759,22,5,1,1,0,0,None
2022-01-01 23:00:00,65.82303908823354,23,5,1,1,0,0,None
2022-01-02 00:00:00,71.27808637737408,0,6,1,1,0,0,None
2022-01-02 01:00:00,73.50139296785017,1,6,1,1,0,0,None
2022-01-02 02:00:00,64.53221919178645,2,6,1,1,0,0,None
2022-01-02 03:00:00,69.25107309375885,3,6,1,1,0,0,None
2022-01-02 04:00:00,62.99680655040598,4,6,1,1,0,0,None
2022-01-02 05:00:00,66.40291534720194,5,6,1,1,0,0,None
2022-01-02 06:00:00,70.99146693885301,6,6,1,1,0,0,None
2022-01-02 07:00:00,93.68719390527434,7,6,1,1,0,0,None
2022-01-02 08:00:00,97.93251387631032,8,6,1,1,0,0,None
2022-01-02 09:00:00,107.33886235319002,9,6,1,1,0,0,None
2022-01-02 10:00:00,129.82553748161797,10,6,1,1,0,0,None
2022-01-02 11:00:00,128.6618146519461,11,6,1,1,0,0,None
2022-01-02 12:00:00,139.04431797502377,12,6,1,1,0,0,None
2022-01-02 13:00:00,124.96768228240232,13,6,1,1,0,0,None
2022-01-02 14:00:00,119.0718826766099,14,6,1,1,0,0,None
2022-01-02 15:00:00,113.61172317731516,15,6,1,1,0,0,None
2022-01-02 16:00:00,101.69233289997705,16,6,1,1,0,0,None
2022-01-02 17:00:00,85.2826443886795,17,6,1,1,0,0,None
2022-01-02 18:00:00,73.4217585880588,18,6,1,1,0,0,None
2022-01-02 19:00:00,66.35586561822187,19,6,1,1,0,0,None
2022-01-02 20:00:00,58.60739004816286,20,6,1,1,0,0,None
2022-01-02 21:00:00,63.77336196005695,21,6,1,1,0,0,None
2022-01-02 22:00:00,67.98399322409904,22,6,1,1,0,0,None
2022-01-02 23:00:00,78.23239115039542,23,6,1,1,0,0,None
2022-01-03 00:00:00,91.71809144784231,0,0,1,0,0,0,None
2022-01-03 01:00:00,79.86827424731237,1,0,1,0,0,0,None
2022-01-03 02:00:00,86.97940369559643,2,0,1,0,0,0,None
2022-01-03 03:00:00,79.79031735045652,3,0,1,0,0,0,None
